nombre,direccion,telefono,categoria,ubicacion,valoracion,num_reseñas,tiene_web,website,google_maps_link,tipo,estado,fecha_generacion,fecha_contacto,url_demo,notas
Electricidad Urgente Bcn ✅⭐⭐⭐⭐⭐,"Carrer del Mariscal Cabanes, 45, 08918 Badalona, Barcelona, España",+34 632 77 95 30,electricista,Badalona,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electricidad-urgente-bcn/,
Cuadros Eléctricos e Instalaciones S.L.U.,"Carrer del General Weyler, 190-194, Local 1B, 08912 Badalona, Barcelona, España",+34 937 60 58 82,electricista,Badalona,5,0,False,,,Servicio de instalación eléctrica,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cuadros-eléctricos-e-instalaciones-slu/,
Barnatecnic,"Carrer de Manila, 6, 08914 Badalona, Barcelona, España",+34 933 98 59 53,aire acondicionado,Badalona,4.6,0,False,,,Servicio de reparación de aire acondicionado,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/barnatecnic/,
21 grados,"Carrer de Jacinto Benavente, 14, 1o - 1a, 08911 Badalona, Barcelona, España",+34 655 19 41 24,aire acondicionado,Badalona,4.9,0,False,,,Empresa de climatización,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/21-grados/,
Barnainstal,"Rambla de Sant Joan, 51, 08912 Badalona, Barcelona, España",+34 636 65 98 88,aire acondicionado,Badalona,5,0,False,,,Tienda aire acondicionado,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/barnainstal/,
Helios Energy Europe Sl,"Carrer del Xarol, 13, 08915 Badalona, Barcelona, España",+34 933 13 61 62,instalador placas solares,Badalona,5,0,False,,,Proveedor de equipos de energía solar,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/helios-energy-europe-sl/,
Electofluids Solar Sl,"Carrer de Salou, 21b, local 1, 08913 Badalona, Barcelona, España",+34 933 83 09 71,instalador placas solares,Badalona,4,0,False,,,Contratista general,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electofluids-solar-sl/,
PINTOR EXPRESS,"Carrer d'Àngel Guimerà, 32, 08917 Badalona, Barcelona, España",+34 678 85 65 50,pintor decorator,Badalona,4.8,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintor-express/,
Pindeco,,+34 615 20 46 65,pintor decorator,Badalona,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pindeco/,
Fernando Herrera Hidalgo,"Carrer d'Europa, 93, 08913 Badalona, Barcelona, España",+34 933 98 43 88,pintor decorator,Badalona,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/fernando-herrera-hidalgo/,
Abid Aslam,"C/ NAPOLS 28, Pl: BJ, Pta: 01, 08914 Badalona, Barcelona, España",,pintor decorator,Badalona,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/abid-aslam/,
lbdeco es,"Av. Bufalà, 20, 08915 Badalona, Barcelona, España",+34 689 32 52 64,pintor decorator,Badalona,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/lbdeco-es/,
Gestió Jardí Brugué,"Carrer de Martí i Julià, 1-3, 08911 Badalona, Barcelona, España",,jardinero,Badalona,5,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/gestió-jardí-brugué/,
Jardinería Concepció,"Carrer d'Arnús, 29, 08911 Badalona, Barcelona, España",+34 933 84 40 59,jardinero,Badalona,4.9,0,False,,,Floristería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jardinería-concepció/,
Little Garden Solutions Grow Shop,"Carrer de Jovellanos, 84, 08930 Sant Adrià de Besòs, Barcelona, España",+34 937 97 74 67,jardinero,Badalona,4.6,0,False,,,Centro de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/little-garden-solutions-grow-shop/,
Jardiners Sant Adrià S.C.C.L.,"Carrer de Ricart, 44, 08930 Sant Adrià de Besòs, Barcelona, España",+34 934 62 19 73,jardinero,Badalona,4.1,0,False,,,Centro de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jardiners-sant-adrià-sccl/,
Marc Martí,"Carrer de Maragall, 48, 08912 Badalona, Barcelona, España",+34 684 71 99 23,cerrajero,Badalona,5,0,False,,,Servei de serralleria d’urgències,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/marc-martí/,
ElTeuManyaBadalona,"Carrer d'En Prim, 08911 Badalona, Barcelona, España",,cerrajero,Badalona,0,0,False,,,Servei de serralleria d’urgències,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/elteumanyabadalona/,
LIMPIEZAS PLATA,"Av. de Catalunya, 46, 08917 Badalona, Barcelona, España",+34 657 99 04 71,limpieza fachadas,Badalona,5,0,False,,,Servicios de limpieza,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/limpiezas-plata/,
Limpiezas Neteco,"Avinguda dels Vents, 9, ESC.A 5º2ª, 08917 Badalona, Barcelona, España",+34 631 60 68 11,limpieza fachadas,Badalona,4.8,0,False,,,Servicio de conserjería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/limpiezas-neteco/,
Limpiezas Badalona - Empresa de limpieza en Badalona,"Carrer de Cervantes, 79, 08912 Badalona, Barcelona, España",+34 933 97 29 36,limpieza fachadas,Badalona,4.3,0,False,,,Servicios de limpieza,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/limpiezas-badalona-empresa-de-limpieza-en-badalona/,
EMPRESA DE RESTAURACION Y REHABILITACION DE FACHADAS,"Carrer de la Festa Major d'Iquique, 11, Local 2, 08930 Badalona, Barcelona, España",+34 670 21 26 47,limpieza fachadas,Badalona,5,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/empresa-de-restauracion-y-rehabilitacion-de-fachadas/,
"nueva reforma sabadell REFORMA DE COCINA SABADELL REFORMA DE BAÑO SABADELL, LAMPISTA SABADELL","Av. de Matadepera, 3, 08207 Sabadell, Barcelona, España",+34 610 35 87 24,reformas cocina,Sabadell,5,0,False,,,Reformas de cocinas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/nueva-reforma-sabadell-reforma-de-cocina-sabadell-reforma-de-baño-sabadell-lampista-sabadell/,
Styl Cuines,"Carrer de Vallirana, 1, 08207 Sabadell, Barcelona, España",+34 937 23 99 83,reformas cocina,Sabadell,4.2,0,False,,,Contratista general,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/styl-cuines/,
"nueva reforma sabadell REFORMA DE COCINA SABADELL REFORMA DE BAÑO SABADELL, LAMPISTA SABADELL","Av. de Matadepera, 3, 08207 Sabadell, Barcelona, España",+34 610 35 87 24,reformas baño,Sabadell,5,0,False,,,Reformas de cocinas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/nueva-reforma-sabadell-reforma-de-cocina-sabadell-reforma-de-baño-sabadell-lampista-sabadell/,
DUTXA PLAT SABADELL,"Carrer de Sol i Padrís, 106, 08203 Sabadell, Barcelona, España",+34 681 65 67 14,reformas baño,Sabadell,4.3,0,False,,,Reformas de baños,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/dutxa-plat-sabadell/,
"nueva reforma sabadell REFORMA DE COCINA SABADELL REFORMA DE BAÑO SABADELL, LAMPISTA SABADELL","Av. de Matadepera, 3, 08207 Sabadell, Barcelona, España",+34 610 35 87 24,reformas integrales,Sabadell,5,0,False,,,Reformas de cocinas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/nueva-reforma-sabadell-reforma-de-cocina-sabadell-reforma-de-baño-sabadell-lampista-sabadell/,
MOSQUITERAS SABADELL,"Passeig del Dos de Maig, 33, 08204 Sabadell, Barcelona, España",+34 606 75 87 79,carpintero aluminio,Sabadell,5,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/mosquiteras-sabadell/,
Carpintería de aluminio ANGA - (Antonio García),"Av. de la Verge de Montserrat, 94, 08210 Barberà del Vallès, Barcelona, España",+34 937 18 98 54,carpintero aluminio,Sabadell,4.9,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/carpintería-de-aluminio-anga-antonio-garcía/,
ContraHUMITAT,"Carrer de Brutau, 27, 08203 Sabadell, Barcelona, España",+34 666 46 48 88,tratamiento humedades,Sabadell,4.7,0,False,,,Servicio de impermeabilización,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/contrahumitat/,
R.Manaut,"Carrer de Salvany, 08203 Sabadell, Barcelona, España",+34 671 65 17 96,fontanero,Sabadell,4.7,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/rmanaut/,
Instalaciones Vilchez: Electricista y fontanero,"Carrer de Viladomat, 08205 Sabadell, Barcelona, España",+34 634 22 11 92,fontanero,Sabadell,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciones-vilchez-electricista-y-fontanero/,
El Fontanero Juan,"Carrer d'en Bac de Roda, 24, 08204 Sabadell, Barcelona, España",+34 625 07 11 02,fontanero,Sabadell,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/el-fontanero-juan/,
Jefferson Construcciónes,"Carrer de Sallarès i Pla, 2, 08202 Sabadell, Barcelona, España",+34 640 26 20 48,fontanero,Sabadell,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jefferson-construcciónes/,
Algoma Instalaciones,"Carrer de las Navas, 90, 08208 Sabadell, Barcelona, España",+34 696 15 87 89,fontanero,Sabadell,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/algoma-instalaciones/,
Francesc Torras Durán,"Raval de Dins, 14, 08202 Sabadell, Barcelona, España",+34 937 25 22 22,fontanero,Sabadell,4.3,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/francesc-torras-durán/,
"Instalaciónes y Reparaciones Batllevell, S.L .","Carrer de Batllevell, 203, 08208 Sabadell, Barcelona, España",+34 685 85 01 14,fontanero,Sabadell,4.8,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciónes-y-reparaciones-batllevell-sl/,
Peñas Martínez Joaquín,"Carrer del Gironès, 13, 08207 Sabadell, Barcelona, España",+34 937 17 05 99,fontanero,Sabadell,4.4,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/peñas-martínez-joaquín/,
Instal·lacions M.P.,"Indret Horta Novella, 122, Carrer de l'Horta Novella, 120, 08201 Sabadell, Barcelona, España",+34 666 80 28 16,fontanero,Sabadell,3,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/installacions-mp/,
Averias 24 Horas,"Carrer de Moragas i Barret, 29, 08204 Sabadell, Barcelona, España",+34 698 84 27 27,fontanero,Sabadell,0,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/averias-24-horas/,
Instal.lacions Xavi Martí,"Carrer Marian Burgués, 20, 08208 Sabadell, Barcelona, España",+34 679 89 36 68,fontanero,Sabadell,3,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/installacions-xavi-martí/,
Algoma Instalaciones,"Carrer de las Navas, 90, 08208 Sabadell, Barcelona, España",+34 696 15 87 89,electricista,Sabadell,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/algoma-instalaciones/,
"Instalaciónes y Reparaciones Batllevell, S.L .","Carrer de Batllevell, 203, 08208 Sabadell, Barcelona, España",+34 685 85 01 14,electricista,Sabadell,4.8,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciónes-y-reparaciones-batllevell-sl/,
"electricidad NG EMERGENCIAS 24h,agua , gas , datos , industrial ,domiciliaria","08204 Sabadell, Barcelona, España",+34 666 11 30 80,electricista,Sabadell,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electricidad-ng-emergencias-24hagua-gas-datos-industrial-domiciliaria/,
El llauner del barri,,+34 671 79 88 26,electricista,Sabadell,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/el-llauner-del-barri/,
Instalaciones Vilchez: Electricista y fontanero,"Carrer de Viladomat, 08205 Sabadell, Barcelona, España",+34 634 22 11 92,electricista,Sabadell,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciones-vilchez-electricista-y-fontanero/,
Conrado Bañón Montajes Eléctricos,"Carrer de Sardà, 134, 08203 Sabadell, Barcelona, España",,electricista,Sabadell,4.5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/conrado-bañón-montajes-eléctricos/,
Instalaciones Jorvid.,"Calle de la Jabonería, 47, 08204 Sabadell, Barcelona, España",+34 647 97 77 68,electricista,Sabadell,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciones-jorvid/,
Climatiza Innovación,"Carrer de Petrarca, 16, 08206 Sabadell, Barcelona, España",+34 605 73 46 35,aire acondicionado,Sabadell,5,0,False,,,Servicio de reparación de aire acondicionado,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/climatiza-innovación/,
AEROSOLAR RENOVABLES S.L.,"Oficinas y Almacén, Carrer de l'Anoia, 8, 08192 Sant Quirze del Vallès, Barcelona, España",,aire acondicionado,Sabadell,5,0,False,,,Empresa de climatización,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/aerosolar-renovables-sl/,
CLICON S.C.C.L.,"Carrer del Maestrat, 15, 08208 Sabadell, Barcelona, España",+34 937 17 27 12,aire acondicionado,Sabadell,2.9,0,False,,,Empresa de calefacción,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/clicon-sccl/,
Instalaciones T. Osuna,"Carrer de Cató, 10, 08206 Sabadell, Barcelona, España",+34 605 19 03 48,aire acondicionado,Sabadell,4.4,0,False,,,Empresa de climatización,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciones-t-osuna/,
AEROSOLAR RENOVABLES S.L.,"Oficinas y Almacén, Carrer de l'Anoia, 8, 08192 Sant Quirze del Vallès, Barcelona, España",,instalador placas solares,Sabadell,5,0,False,,,Empresa de climatización,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/aerosolar-renovables-sl/,
artyestuc pintors,"Carrer de Viladomat, 63, 08205 Sabadell, Barcelona, España",+34 678 28 97 87,pintor decorator,Sabadell,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/artyestuc-pintors/,
PINTORTINOS,"Carrer d'Osona, 71, 08207 Sabadell, Barcelona, España",+34 640 35 12 90,pintor decorator,Sabadell,4.8,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintortinos/,
SBD Revestiments,"Carrer dels Calders, 83, 1º 3º, 08203 Sabadell, Barcelona, España",+34 677 07 34 26,pintor decorator,Sabadell,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/sbd-revestiments/,
PINTADECOR. Sbd,"Carrer de Lope de Vega, 53, Local 5, 08204 Sabadell, Barcelona, España",+34 637 88 06 40,pintor decorator,Sabadell,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintadecor-sbd/,
J.Lãzaro Aplicació Decorativa I Pintura,"N-150, 565, 08204 Sabadell, Barcelona, España",,pintor decorator,Sabadell,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jlãzaro-aplicació-decorativa-i-pintura/,
Joaquín Garrido Algaba,"Carrer de Fàtima, 30, 08204 Sabadell, Barcelona, España",,pintor decorator,Sabadell,0,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/joaquín-garrido-algaba/,
La ceba jardins,"Santiago de Compostela 14, 08204 Sabadell, Barcelona, España",+34 695 60 84 09,jardinero,Sabadell,5,0,False,,,Servicio de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/la-ceba-jardins/,
Cerrajeros Luis Aperturas,"Carrer de Sarret, 12, 08205 Sabadell, Barcelona, España",+34 684 77 87 70,cerrajero,Sabadell,4.8,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cerrajeros-luis-aperturas/,
Roser 1988,"Carrer de Pérez Moya, 70, 08204 Sabadell, Barcelona, España",+34 644 06 62 10,cerrajero,Sabadell,5,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/roser-1988/,
CerrajerosCalmet37,"Carrer de Manso, 143, 08205 Sabadell, Barcelona, España",+34 607 52 25 67,cerrajero,Sabadell,5,0,False,,,Cerrajero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/cerrajeroscalmet37/,
Reformas Barcelona,,+34 692 69 23 64,reformas cocina,Terrassa,1.5,0,False,,,Reformas de cocinas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-barcelona/,
Idc Cocinas,"Carrer de Núria, 73, 08224 Terrassa, Barcelona, España",+34 931 91 08 86,reformas cocina,Terrassa,5,0,False,,,Comercio,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/idc-cocinas/,
moncuinesdisseny,"Carrer Sabadell, 7, 08225 Terrassa, Barcelona, España",+34 619 57 25 96,reformas cocina,Terrassa,5,0,False,,,Reformas de cocinas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/moncuinesdisseny/,
Reformas Integrales J.Terret,,+34 650 79 40 38,reformas baño,Terrassa,5,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-integrales-jterret/,
Reformas Barcelona,,+34 692 69 23 64,reformas baño,Terrassa,1.5,0,False,,,Reformas de baños,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-barcelona/,
Reformas Barcelona,,+34 692 69 23 64,reformas integrales,Terrassa,1.5,0,False,,,Reformas de cocinas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-barcelona/,
Reformes Terrassa,"Carrer de Cervantes, 22, 08221 Terrassa, Barcelona, España",,reformas integrales,Terrassa,0,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformes-terrassa/,
Reformas Integrales J.Terret,,+34 650 79 40 38,reformas integrales,Terrassa,5,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-integrales-jterret/,
Reformas Integrales,"Passeig de Lluís Muncunill, 8, 08225 Terrassa, Barcelona, España",+34 696 13 78 93,reformas integrales,Terrassa,0,0,False,,,Contratista general,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-integrales/,
Tecnova Rehabilitació S.L,"Cr. de Sant Sebastià, 101, El Segle XX, 08223 Terrassa, Barcelona, España",+34 934 88 57 12,tratamiento humedades,Terrassa,3.3,0,False,,,Servicio de restauración de edificios,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/tecnova-rehabilitació-sl/,
Jaiser Rehabilitación de Fachadas - Alquiler y Montaje de Andamios,"Carrer del miño 6 20 Nave 17 Vial C del polígono industrial Can Palet 08223 Terrassa Barcelona industrial, 08223 Terrassa, Barcelona, España",+34 931 17 07 05,tratamiento humedades,Terrassa,4.1,0,False,,,Constructor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jaiser-rehabilitación-de-fachadas-alquiler-y-montaje-de-andamios/,
Josal Confort S.L.,"Carrer de Prat de la Riba, 112, 08222 Terrassa, Barcelona, España",+34 937 31 61 51,fontanero,Terrassa,4.9,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/josal-confort-sl/,
Mapesi Terrassa Sl,"Carrer de Bosch i Gimpera, 23, 08223 Terrassa, Barcelona, España",+34 937 31 11 58,fontanero,Terrassa,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/mapesi-terrassa-sl/,
Joan Comallonga Galí,"Carrer de Pitàgores, 65, 08224 Terrassa, Barcelona, España",+34 639 15 84 24,fontanero,Terrassa,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/joan-comallonga-galí/,
Ruiz,"Carrer Mare de Déu de las Angustias, 93, 08222 Terrassa, Barcelona, España",+34 937 31 44 14,fontanero,Terrassa,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/ruiz/,
Antonio Alvarez Corral,"Carrer del Masnou, 3, 08227 Terrassa, Barcelona, España",+34 616 42 43 04,fontanero,Terrassa,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/antonio-alvarez-corral/,
Mi instalador,,+34 659 28 77 73,fontanero,Terrassa,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/mi-instalador/,
Santiago Serrano García,"Carrer de la Duquessa de la Victòria, 81, Can Palet, 08223 Terrassa, Barcelona, España",,fontanero,Terrassa,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/santiago-serrano-garcía/,
instalacions García,,+34 627 16 63 13,fontanero,Terrassa,5,0,False,,,Fontanero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalacions-garcía/,
Electricista económico 24 Horas Terrassa,"Carrer de Jacint Elías, 230, 08222 Terrassa, Barcelona, España",+34 633 91 23 40,electricista,Terrassa,3,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electricista-económico-24-horas-terrassa/,
Electricidad Jaime Lorenzo,"Carrer de Volta, 230, 08224 Terrassa, Barcelona, España",+34 937 88 33 71,electricista,Terrassa,4.3,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electricidad-jaime-lorenzo/,
Amperio Network Electricidad,,+34 631 87 89 28,electricista,Terrassa,5,0,False,,,Servicio de instalación eléctrica,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/amperio-network-electricidad/,
Electricidad Quimi,"Carrer Nou de Sant Pere, 1, Atico, 08221 Terrassa, Barcelona, España",+34 657 95 36 89,electricista,Terrassa,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electricidad-quimi/,
Instalaciones Electricas Maldonado,"Carrer de Sant Mateu, 2, 08224 Terrassa, Barcelona, España",+34 931 37 36 14,electricista,Terrassa,5,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/instalaciones-electricas-maldonado/,
Electricistas terrassa,,+34 632 20 33 38,electricista,Terrassa,0,0,False,,,Servicio de instalación eléctrica,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electricistas-terrassa/,
Electricistas Terrassa - Electricidad TerraElectra,"Carrer d'Àngel Guimerà, 126, Can Palet, 08223 Terrassa, Barcelona, España",+34 631 55 33 18,electricista,Terrassa,0,0,False,,,Electricista,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/electricistas-terrassa-electricidad-terraelectra/,
APFCLIMA2023,"Avinguda de Joaquim de Sagrera, 08224 Terrassa, Barcelona, España",+34 688 40 17 69,aire acondicionado,Terrassa,5,0,False,,,Tienda aire acondicionado,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/apfclima2023/,
InfinitySun S.L.,"Carrer de Colom, 453, 08223 Terrassa, Barcelona, España",+34 937 86 99 17,instalador placas solares,Terrassa,3.8,0,False,,,Oficinas de empresa,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/infinitysun-sl/,
Guglie Pintores,"Carrer de Sant Jordi, 08222 Terrassa, Barcelona, España",+34 658 45 54 47,pintor decorator,Terrassa,4.9,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/guglie-pintores/,
Rebonito Decoracion,"Carrer de Roig i Ventura, 131, 08226 Terrassa, Barcelona, España",+34 634 41 16 81,pintor decorator,Terrassa,4.8,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/rebonito-decoracion/,
Pintor Hugo,"Carrer del Comte Borrell, 59, 08224 Terrassa, Barcelona, España",+34 937 80 76 05,pintor decorator,Terrassa,3.7,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintor-hugo/,
Pintor Vizuete,"Av. de Béjar, 08225 Terrassa, Barcelona, España",+34 607 19 46 20,pintor decorator,Terrassa,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pintor-vizuete/,
Pinturas y de decoración Mariano Cano,"Carrer Prat de la Ribas, Carrer de Prat de la Riba, 08226 Terrassa, Barcelona, España",+34 626 11 92 65,pintor decorator,Terrassa,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pinturas-y-de-decoración-mariano-cano/,
Remuntdecor S.C.P.,"Carrer de Miquel Palomares, 46, 08226 Terrassa, Barcelona, España",+34 663 13 11 17,pintor decorator,Terrassa,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/remuntdecor-scp/,
seduction of the colors sl,"Carrer Sabadell, 08225 Terrassa, Barcelona, España",+34 653 66 02 94,pintor decorator,Terrassa,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/seduction-of-the-colors-sl/,
Checapintures Terrassa,"Carrer de Xúquer, 4, 08223 Terrassa, Barcelona, España",+34 655 58 45 33,pintor decorator,Terrassa,4.3,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/checapintures-terrassa/,
Pinturas & Reformas Bazoli,"Carrer de la Hispanitat, 18, Can Boada, 08225 Terrassa, Barcelona, España",+34 627 15 97 73,pintor decorator,Terrassa,5,0,False,,,Pintor,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/pinturas-reformas-bazoli/,
Jardinería Terrassa,"Carrer de Flandes, 3, 08224 Terrassa, Barcelona, España",+34 644 90 55 54,jardinero,Terrassa,5,0,False,,,Servicio de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jardinería-terrassa/,
